userid,age,gender,domisili,pekerjaan,instansi,hobi
61377,18,female,Kota Magelang,Content writer,Universitas Gunadarma,Programming
16429,25,male,Kabupaten Bangkalan,Data analyst,Universitas Andalas (UNAND),Menonton
27812,54,male,Kota Bogor,Blogger,Universitas Negeri Malang (UM),Menonton
30786,39,female,Kabupaten Situbondo,Web developer,Universitas Udayana (UNUD),Mendengarkan musik
76660,45,male,Kabupaten Tulungagung,Data analyst,SMA A,Olahraga
10476,39,male,Kabupaten Lumajang,Infuencer,PT Gudang Garam Tbk,Programming
31025,27,female,Kabupaten Tulungagung,Mahasiswa,Universitas Negeri Semarang (UNNES),Mendengarkan musik
79192,31,male,Kota Bandung,Programmer,Universitas Negeri Jakarta (UNJ),Menulis
50048,50,female,Kabupaten Pacitan,Ilustrator,Universitas Airlangga (UNAIR),Merakit model
85501,14,female,Kota Pasuruan,App developer,Universitas Bina Nusantara (Binus),Menari
18982,84,female,Kota Batu,Content creator,PT Bank Rakyat Indonesia Tbk,Menulis
93248,21,male,Kabupaten Majalengka,Blogger,PT Gudang Garam Tbk,Menonton
5492,25,male,Kota Pekalongan,Infuencer,Universitas Andalas (UNAND),Makan
53003,38,male,Kabupaten Kulonprogo,Content creator,Universitas Indonesia (UI),Menonton
55312,24,male,Kabupaten Banjarnegara,Video editor,Universitas Gunadarma,Menyanyi
39535,20,female,Kabupaten Ciamis,Siswa,Universitas Gadjah Mada (UGM),Bermain game
3326,98,male,Kabupaten Demak,Web developer,Universitas Sebelas Maret (UNS),Menyanyi
4165,33,male,Kota Cirebon,Desain grafis,PT Semen Indonesia,Melukis
32088,21,male,Kabupaten Nganjuk,Blogger,Universitas Sumatera Utara (USU),Merakit model
25277,26,male,Kabupaten Pacitan,Siswa,SMA C,Menari
24779,50,male,Kabupaten Cianjur,Video editor,SMA A,Makan
66464,37,female,Kabupaten Sampang,Content writer,SMA C,Makan
90161,103,male,Kabupaten Karawang,Mahasiswa,PT Semen Indonesia,Menonton
36907,67,male,Kota Cilegon,Mahasiswa,PT Pertamina,Membaca
13705,33,male,Kabupaten Banyuwangi,App developer,Universitas Indonesia (UI),Memasak
39505,25,female,Kabupaten Sleman,Content writer,Institut Teknologi Sepuluh Nopember (ITS),Berkebun
240,18,male,Kabupaten Sukoharjo,Data analyst,PT PLN,Programming
56718,57,male,Kota Cilegon,Desain grafis,PT Unilever Indonesia,Memelihara hewan
54602,19,female,Kota Pekalongan,Penulis,PT Semen Indonesia,Bermain musik
37574,63,male,Kota Surakarta,Content writer,Universitas Gunadarma,Menonton
58033,36,female,Kabupaten Pati,Siswa,Universitas Diponegoro (UNDIP),Olahraga
13382,18,female,Kabupaten Bandung Barat,Mahasiswa,Universitas Hasanuddin (UNHAS),Mendengarkan musik
8516,28,male,Kabupaten Karanganyar,Content creator,Universitas Airlangga (UNAIR),Berkebun
98631,60,female,Kabupaten Wonosobo,Penerjemah,PT Bank Mandiri Tbk,Membaca
28423,25,male,Kabupaten Pamekasan,Data analyst,PT Bank Rakyat Indonesia Tbk,Melukis
8931,46,female,Kabupaten Ciamis,Content writer,Universitas Sumatera Utara (USU),Olahraga
17413,62,male,Kota Batu,App developer,Universitas Negeri Jakarta (UNJ),Membaca
87577,17,male,Kota Tegal,Programmer,Universitas Sumatera Utara (USU),Makan
22670,21,male,Kabupaten Klaten,Ilustrator,PT Bank Central Asia Tbk,Berkebun
73591,19,male,Kota Serang,Infuencer,Universitas Hasanuddin (UNHAS),Olahraga
37548,43,male,Kabupaten Pacitan,Content creator,Universitas Indonesia (UI),Menganyam
19970,19,male,Kota Pekalongan,Infuencer,Universitas Bina Nusantara (Binus),Menonton
68064,55,female,Kabupaten Bojonegoro,Ilustrator,SMA B,Melukis
31730,23,male,Kabupaten Kulonprogo,Siswa,PT Astra International,Bermain musik
84635,20,female,Kota Malang,Web developer,Universitas Andalas (UNAND),Melukis
44472,35,male,Kabupaten Boyolali,Video editor,PT Unilever Indonesia,Menyanyi
20838,78,female,Kabupaten Kediri,Data analyst,Universitas Diponegoro (UNDIP),Bermain musik
21673,23,male,Kabupaten Sleman,Web developer,Universitas Airlangga (UNAIR),Programming
54619,33,male,Kota Bandung,Mahasiswa,PT Semen Indonesia,Eksplor alam
55384,42,male,Kota Madiun,Web developer,Universitas Sumatera Utara (USU),Programming
86274,95,female,Kota Kediri,App developer,PT Astra International,Menari
81438,25,male,Kota Malang,Penerjemah,PT Gudang Garam Tbk,Berkebun
94498,103,male,Kabupaten Sragen,Mahasiswa,PT Bank Negara Indonesia Tbk,Melukis
26560,25,male,Kota Probolinggo,App developer,Universitas Andalas (UNAND),Menyanyi
30012,55,female,Kabupaten Tangerang,Siswa,Universitas Telkom,Menonton
47097,15,male,Kabupaten Banyumas,Video editor,Universitas Bina Nusantara (Binus),Memelihara hewan
53947,53,male,Kabupaten Rembang,Mahasiswa,Universitas Negeri Semarang (UNNES),Menulis
80053,20,male,Kabupaten Cirebon,Web developer,Universitas Telkom,Merakit model
14773,38,female,Kota Tangerang,Mahasiswa,Universitas Padjadjaran (UNPAD),Berkebun
85979,15,female,Kota Cilegon,Blogger,PT PLN,Mendengarkan musik
38795,18,male,Kabupaten Sumenep,Siswa,Institut Teknologi Sepuluh Nopember (ITS),Menulis
58335,18,male,Kabupaten Sumenep,Ilustrator,Universitas Negeri Surabaya (UNESA),Programming
59487,16,male,Kabupaten Gunungkidul,Ilustrator,SMA C,Melukis
21808,31,male,Kabupaten Jombang,Content creator,PT Freeport,Mendengarkan musik
61888,18,male,Kabupaten Sampang,Content writer,PT Pertamina,Menganyam
63845,21,female,Kabupaten Majalengka,Penerjemah,Universitas Dian Nuswantoro,Menganyam
27369,24,male,Kota Magelang,Web developer,SMA C,Fotografi
31774,21,female,Kabupaten Jember,Ilustrator,Universitas Lampung (UNILA),Programming
34714,45,female,Kota Pekalongan,Penerjemah,PT Astra International,Menganyam
